game,class,skill_name,geometry,element,timing_pattern,defensive_offensive_role,signature_or_minor,geometry_fits_5_bins,unmapped_geometry_note,notes
Diablo 2,Sorceress,Chain Lightning,chain,lightning,instant,offensive,signature,yes,,Chain projectile that bounces between targets. Clean chain bin.
Diablo 2,Sorceress,Blizzard,multi-spawn,water/cold,sustained,offensive,signature,yes,,"Summons ice storm — multiple ice bolts from above over duration. Multi-spawn."
Diablo 2,Sorceress,Meteor,multi-spawn,fire,delayed,offensive,signature,yes,,"Falling meteor with delayed impact + burn ground zone. Multi-spawn + persistent ground secondary — mostly maps to multi-spawn."
Diablo 2,Sorceress,Frozen Orb,large-AOE,water/cold,instant,offensive,signature,yes,,"Expanding orb that fires cold bolts radially. Large AOE with multi-projectile secondary. Maps cleanly to large-AOE."
Diablo 2,Sorceress,Fireball,small-AOE,fire,instant,offensive,minor,yes,,"Projectile with AOE explosion on impact. Maps to small-AOE (explosion radius <3 tiles) or projectile depending on radius."
Diablo 2,Sorceress,Teleport,other,neutral,instant,mobility,minor,no,"mobility geometry (teleport bin in operational geometry palette; not a damage-dealing skill)","Instant relocation. Not a damage geometry — mobility skill. Maps to teleport geometry type, not a BC Axis 2 damage bin."
Diablo 2,Sorceress,Nova,large-AOE,lightning,instant,offensive,signature,yes,,"Expanding ring burst from caster. Large AOE (ring pattern). Maps to large-AOE bin."
Diablo 2,Sorceress,Thunder Storm,multi-spawn,lightning,sustained/DOT,offensive,minor,yes,,"Periodically summons lightning strikes from above. Multi-spawn sustained."
Diablo 2,Sorceress,Static Field,large-AOE,lightning,instant,offensive/utility,minor,yes,,"% HP reduction to all enemies in radius. Large AOE but with unique %HP mechanic — maps to large-AOE for geometry."
Diablo 2,Sorceress,Fire Wall,persistent-ground,fire,instant,offensive,minor,PARTIAL,"persistent-ground is a distinct geometry type in our palette (mapped to small-AOE or large-AOE by radius). Recommend tracking as persistent-ground sub-type.","Placed wall of fire — persistent damage zone. Closest to large-AOE bin but functionally a placed obstacle, not centered explosion."
Diablo 2,Sorceress,Ice Blast,small-AOE,water/cold,instant,offensive,minor,yes,,"Cold AOE projectile with freeze chance. Small-AOE."
Diablo 2,Sorceress,Frost Nova,small-AOE,water/cold,instant,offensive/control,minor,yes,,"Radial cold burst from caster with freeze. Small-AOE (caster-centered, short radius)."
Diablo 2,Necromancer,Corpse Explosion,large-AOE,physical/fire,instant,offensive,signature,yes,,"Detonates a corpse dealing AOE damage in large radius. Large-AOE. Corpse-consumption mechanic is a resource economy mechanic (Axis 5 HP-economy variant), not a geometry variant."
Diablo 2,Necromancer,Bone Spirit,single-target,dark/physical,instant,offensive,signature,yes,,"Homing single-target projectile. Single-target (homing collapses to single-target per Axis 2 definition)."
Diablo 2,Necromancer,Bone Spear,single-target,physical,instant,offensive,minor,yes,,"Piercing bone projectile. Single-target (line pierce folds to single-target or small-AOE by aoe_radius)."
Diablo 2,Necromancer,Poison Nova,large-AOE,dark/void,instant,offensive,signature,yes,,"Radial poison ring burst from caster. Large-AOE."
Diablo 2,Necromancer,Raise Skeleton,multi-spawn,physical,instant,offensive/summoner,signature,PARTIAL,"proxy-spawn is Axis 2A territory (proxy density), not Axis 2 damage geometry","Summons skeleton minion. Multi-spawn in spirit but maps to Axis 2A proxy-heavy generation, not Axis 2 damage geometry. Highlights proxy axis."
Diablo 2,Necromancer,Decrepify,small-AOE,dark,instant,control/support,minor,yes,,"Curse that applies massive debuff to target + nearby. Small-AOE control spell."
Diablo 2,Necromancer,Iron Maiden,single-target,physical,instant,control/support,minor,yes,,"Reflect-damage curse on single target. Single-target with unique reflect mechanic (maps to Axis 4 dodger reflection sub-type)."
Diablo 2,Paladin,Blessed Hammer,multi-spawn,holy,instant,offensive,signature,PARTIAL,"rotating orbit geometry — not cleanly multi-spawn or single-target","Summons hammer that spirals outward from caster in rotating arc. Orbiting projectile geometry. Does NOT cleanly map to any of our 5 bins — closest to multi-spawn but the orbital rotation is a distinct pattern. FLAG for bin-cut review."
Diablo 2,Paladin,Holy Shock Aura,large-AOE,lightning,sustained,offensive/support,signature,PARTIAL,"persistent aura with tick damage — maps to aura geometry in our palette but aura is not one of the 5 damage bins","Aura that deals periodic lightning damage to all enemies within radius. Maps to aura geometry type (persistent-AOE), which our palette folds into large-AOE for BC purposes. Verify radius threshold for bin assignment."
Diablo 2,Paladin,Hammerdin (Blessed Hammer spam),multi-spawn,holy,instant,offensive,signature,PARTIAL,"orbital multi-spawn — see Blessed Hammer note","Build centered on Blessed Hammer spam. Multiple hammers orbiting simultaneously."
Diablo 2,Paladin,Conversion,single-target,holy,instant,control/support,minor,yes,,"Mind-control single target enemy. Single-target control spell. Maps to Axis 2B control-pure + Axis 2A proxy generation."
Diablo 2,Barbarian,Whirlwind,small-AOE,physical,channel/movement,offensive,signature,PARTIAL,"channel-move geometry (move while dealing AOE) — whirlwind is in our palette as a distinct geometry type but maps to small-AOE for BC purposes","Spinning AOE while moving. Whirlwind geometry in our palette. Maps to small-AOE for BC bin, but the movement-while-casting pattern is distinctive for Axis 3 (tempo/variance)."
Diablo 2,Barbarian,War Cry,small-AOE,physical/wind,instant,offensive/control,minor,yes,,"AOE damage + stun shout. Small-AOE with CC effect."
Diablo 2,Amazon,Lightning Fury,chain,lightning,instant,offensive,signature,yes,,"Javelin that chains lightning between enemies. Chain bin."
Diablo 2,Amazon,Multiple Shot,multi-spawn,physical,instant,offensive,signature,yes,,"Fires multiple arrows simultaneously. Multi-spawn (multi_projectile geometry)."
Diablo 2,Amazon,Strafe,multi-spawn,physical,channel,offensive,signature,yes,,"Rapid multi-arrow auto-attack. High-tempo multi-spawn."
Diablo 2,Druid,Hurricane,large-AOE,wind,sustained,offensive,signature,yes,,"Persistent wind damage around caster. Large-AOE sustained (aura-style). Maps to large-AOE or aura."
Diablo 2,Druid,Tornado,small-AOE,wind,instant,offensive,minor,yes,,"Summons small wind vortex. Small-AOE."
Diablo 2,Druid,Armageddon,multi-spawn,fire,sustained,offensive,signature,yes,,"Meteor shower. Multi-spawn sustained."
Diablo 2,Druid,Maul,small-AOE,physical,instant,offensive,minor,yes,,"Werebear multi-hit combo. Small-AOE in bear form."
Diablo 2,Assassin,Mind Blast,small-AOE,dark,instant,control,signature,yes,,"AOE mind control + stun. Small-AOE control. Axis 2A proxy generation via mind-control mechanic."
Diablo 2,Assassin,Phoenix Strike,multi-spawn,fire/cold/lightning,instant,offensive,signature,PARTIAL,"multi-element elemental nova — multi-element simultaneous release is not a geometry variant but an element-blending mechanic","Charge-up combo finisher releasing elemental novas. Charge timing + multi-element release. Maps to small-AOE or multi-spawn."
Diablo 3,Wizard,Frozen Orb,large-AOE,water/cold,instant,offensive,signature,yes,,"Large radial orb releasing cold bolts. Large-AOE."
Diablo 3,Wizard,Black Hole,large-AOE,arcane,instant,offensive/control,signature,yes,,"Large AOE pull effect + arcane damage. Large-AOE with vortex_pull mechanic."
Diablo 3,Wizard,Archon,multi-spawn,arcane,sustained,offensive,signature,PARTIAL,"form transformation with new ability set — transformation is not a geometry type","Form transformation with new skill set during duration. Not a damage geometry — Axis 5 (economy) and Axis 1 (engagement) relevant."
