cell_id,cell_members,cell_tier_span,cell_games,cell_neg,rank_in_cell,representative,kit_id,folk_name,corpus,game,tier,canon_tier,negative,flags,lineage,gx,proxy,geo,commit,econ,mob,elem_p,avg_conf,spend_stratum,basin,meta,power_rating,eras,prov,mechanics_status,blocking_mechanics,mech_note
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,1,True,d4-bash,Bash Barbarian,d4,d4,T1,deep,False,,,,solo,small-AOE,instant,generator-as-spender-inversion,med,physical,0.87,,,,,voh-s6+,kb;sky,have-core,direct-hit instant verbs native,"A BASIC skill promoted to throne — Bash with the cleave aspect one-buttoned the Vessel of Hatred meta, the generator-as-whole-build pattern "
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,2,False,gd-callidors-tempest-templar,Callidor's Tempest Templar,gd,gd,T1,deep,False,,,,solo,small-AOE,instant,mana-spender,low,aether,0.87,,,,,base-2016;fg-2019;patch-1.1-1.2,gt;kb,have-core,direct-hit instant verbs native,Point-blank aether-fire tempest pulsing around a battle-caster who stands IN the melee — the caster-tank identity where the nova radius is y
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,3,False,le-flame-reave-spellblade,Flame Reave Spellblade,le,le,T1,deep,False,,,,solo,small-AOE,instant,builder-widened-wave,high,fire,0.85,,,,,beta-0.8-0.9;1.0-launch;1.4-omens,mx-le;kb,have-core,direct-hit instant verbs native,"Melee-mage crescent waves of fire off sword swings, ward from Firebrand stacks — the battle-mage identity build since beta, re-listed on Sea"
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,4,False,le-detonating-arrow-mm,Detonating Arrow Marksman,le,le,T1,deep,False,,,,solo,small-AOE,instant,mana-light,high,fire,0.85,,,,,1.0-launch;1.2-woven;1.4-omens,eg;kb,have-core,direct-hit instant verbs native,"Explosive-tipped shots with tree paths for delayed detonation payloads — the marksman's screen-clear staple, with Multishot as the sibling f"
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,5,False,gd-fire-strike-purifier,Fire Strike Purifier,gd,gd,T1,deep,False,,,,solo,small-AOE,instant,generator-as-spender-inversion,med,fire,0.83,,,,,base-2016;aom-2017;patch-1.1-1.2,gt;cf;kb,have-core,direct-hit instant verbs native,Dual pistols spitting fire on every default shot — Fire Strike's explosive line with Inquisitor WPS filling the drum; GD's iconic ranged ide
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,6,False,poe1-lacerate-glad,Bleed Gladiator,poe1,poe1,T1,deep,False,,,,solo,small-AOE,instant,mana-light,med,physical,0.83,,,,,3.0-3.6;3.7-3.13;3.20+,kb,have-core,direct-hit instant verbs native,"Physical bleed DoT stacking with max-block defense; hit once, watch them bleed out while blocking everything."
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,7,False,d2-singer,Singer,d2,d2,T1,deep,False,,,,solo,small-AOE,instant,mana-hungry,low,physical,0.82,,,,,lod;d2r;rotw-s14,od;kb,have-core,direct-hit instant verbs native,Caster barbarian: War Cry stun-nukes in a radius off mana; the class's shout tree played as the whole kit — beloved inversion canon.
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,8,False,d3-aov-foth,AoV Fist of the Heavens,d3,d3,T1,deep,False,,,,solo,small-AOE,instant,wrath-spender,med,holy,0.82,,,,,late-sets;s39,db;kb,have-core,direct-hit instant verbs native,"Aegis of Valor's holy lightning bolts from heaven — the D2 FoHdin homage as a D3 set, ranged smiting with Heaven's Fury beam swaps; the buff"
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,9,False,gd-krieg-death-knight,Krieg Death Knight,gd,gd,T1,deep,False,,,,solo,small-AOE,instant,set-authored-loop,med,aether,0.82,,,,,aom-2017;patch-1.1-1.2,eg;gt;cf;kb,have-core,direct-hit instant verbs native,"The Krieg set turns Death Knight into GD's default first character — aether melee with Bone Harvest and massive Menhir's-Will sustain, an en"
SOLO|SMALL|INST×econ:spend,28,"T1,T2,T3",12,5,10,False,poe1-detonate-dead,Detonate Dead,poe1,poe1,T1,deep,False,,,,solo,small-AOE,instant,corpse-resource,med,fire,0.8,,,,,1.x;3.7-3.13;3.14-3.19,kb,have-core,direct-hit instant verbs native,"Explodes a corpse for a percentage of the corpse's life as fire — damage scaled by the VICTIM'S body, with corpse-spawning spells as ammunit"
