id,cls,applies_to_lattice,predicate_rule,removed_exact,removed_meso,rationale
L1-treatment-function-coherence,logical,True,"treatment∈{control,hybrid} ⟹ function≠none  (control/hybrid MUST have a function; damage×function IS coherent — control-rider semantics, 130 living kits)",330062040,4158,"AMENDED L1′ (Matt-ratified Q30a, gandalf audit §2.A1): the only incoherent treatment×function pairs are {control,hybrid}×none — a control/hybrid kit's function is its identity, so 'none' is incoherent for it. damage×(any control function) is COHERENT: a damage primary carrying a control rider (Frozen-Orb class) is bedrock genre — 130 active kits sit there. v1's `damage⟺none` half was over-reach, falsified by 30%% of the living corpus. 28 coherent pairs."
L2-summon-implies-proxy,logical,True,"delivery=SUMMON ⟹ proxy∈{light,heavy}  (SUMMON⊗solo forbidden)",42865200,540,Register §3B: a SUMMON kit's identity is its proxy; proxy=solo means nothing was summoned. SUMMON⊗solo is definitionally empty (the summoned entity IS the proxy).
L3-melee-delivery-range-coherence,logical,True,delivery=MELEE ⟹ range≠ranged  (MELEE⊗ranged forbidden; melee/mid/dual allowed),32148900,0,Charge C.5: melee⊗projectile-family is DEFINITIONAL (range is partly derived from delivery). A MELEE-delivered kit cannot have pure-ranged reach; dual (hybrid reach) and mid (lunge) remain coherent.
L4-ranged-delivery-range-coherence,logical,True,delivery=PROJECTILE ⟹ range≠melee  (projectile⊗melee: zero referents; BEAM & ORBITAL dropped — flamethrower + whirling-blades corners are inhabited),96446700,0,"AMENDED L4″ (Matt-ratified Q30a, gandalf audit §2.A3): only PROJECTILE×melee is incoherent (a travelling payload cannot have pure-melee reach — zero referents). BEAM×melee is ALIVE (d3-arachyr-firebats, the point-blank channel-beam flamethrower) and ORBIT×melee is ALIVE (8 whirling-blades kits). v1's L4 over-cut two inhabited cells. mid/ranged/dual remain; NOVA/ZONE/MELEE/SUMMON unconstrained."
RED-1-co-location,red-law,False,"(no coordinate predicate — positional/geometry property, key-invisible)",N/A-filter,N/A-filter,The co-location law distinguishes damage painted where the avatar WAS from damage at its present position — a trail-vs-chase GEOMETRY property. The 13-coord identity key encodes no trail/present positional coordinate (gandalf §B.5: 'structurally under-observable ... carried by curation/generation filters instead'). Force-fitting it would fabricate a predicate the key cannot honestly express. STAYS a generation/curation filter.
RED-2-no-anti-synergy,red-law,False,"(no coordinate predicate — kit-internal relational property, key-invisible)",N/A-filter,N/A-filter,"Anti-synergy is a within-kit RELATION (sustain consumes the kit's OWN army/economy). Two kits with identical 13-coord keys can differ on whether sustain cannibalizes — the property lives in the mechanic, not the coordinate tuple. gandalf §A.2-6: observable only as a future sim-KPI (K5/K6) on EMITTED kits, never as a lattice predicate. STAYS a generation/curation filter."
RED-3-movement-damage-carveout,red-law,True,"geometry∈{movement-verb geoms: dash_attack, teleport} ∧ commit≠instant ⟹ SEAL (committal movement-damage dies; instant-commit movement-damage lives — tempo conjunct DROPPED per RED-3′)",76204800,0,"AMENDED RED-3′ (Matt-ratified Q30a; law text amended at source, gandalf gaps-kpis-direction §A.4): the occupancy test found what separates dead from living movement kits is COMMIT, not tempo. All 19 living movement-verb kits are commit=instant (across low/med/high tempo — Leapquake & Shield Charge are instant+high, alive). Both intrinsic-red movement corpses (d2-leap-attack-barb wind-up, poe1-charged-dash channel) are non-instant. d4-blade-shift (instant+ high) died extrinsic-itemization and is correctly SPARED. So: seal iff commit≠instant. Three-way concordance (law text · corpus occupancy · legolas death-class re-crawl) now agrees. CAVEAT (binding): the movement-verb geometry class = {dash_attack, teleport} is curation-bound (2 of ~21 slots); the two motivating corpses were re-keyed blank→dash_attack (corpus.db, Edition-II) so the law's evidence lives inside its own predicate. Cardinality moves if a third movement-verb geometry lands (re-run trigger)."
T1-glass-rooted-channel,taste-candidate,RULED-KEEP-2026-07-15-Matt-Q30b,"(taste — RULED KEEP by Matt 2026-07-15; ZERO cuts; recorded as lineage, nothing sealed by taste)",14881104,N/A-this-grain,"Rooted + channel + glass = the maximally-exposed sustained-cast corner (the CONTESTED rooted-channel cell's most fragile sub-region). Taste question: seal, or keep as balance-loop showcase."
T2-triggered-windup,taste-candidate,RULED-KEEP-2026-07-15-Matt-Q30b,"(taste — RULED KEEP by Matt 2026-07-15; ZERO cuts; recorded as lineage, nothing sealed by taste)",111608280,N/A-this-grain,"Triggered activation THEN a wind-up = double-latency (the condition fires, then you still charge). Genre-rare. Taste question: seal as feel-dead, or keep for telegraphed heavy procs."
T3-selfcost-heavy-proxy,taste-candidate,RULED-KEEP-2026-07-15-Matt-Q30b,"(taste — RULED KEEP by Matt 2026-07-15; ZERO cuts; recorded as lineage, nothing sealed by taste)",34791120,N/A-this-grain,"HP-as-resource (self-cost) sustaining a HEAVY proxy army = the blood-summoner corner. Coherent but a strong flavor commitment. Taste question: reserve for a signature archetype, or seal as over-specific."
T4-flat-low-channel,taste-candidate,RULED-KEEP-2026-07-15-Matt-Q30b,"(taste — RULED KEEP by Matt 2026-07-15; ZERO cuts; recorded as lineage, nothing sealed by taste)",24801840,N/A-this-grain,"Flat amplitude + low tempo + channel = the flattest, slowest, most inert damage feel in the space. Taste question: seal as anti-fun, or keep (some sustained-drain fantasies live here)."
T5-hybrid-treatment-plane,taste-candidate,RULED-KEEP-2026-07-15-Matt-Q30b,"(taste — RULED KEEP by Matt 2026-07-15; ZERO cuts; recorded as lineage, nothing sealed by taste)",222796980,3240,"treatment=hybrid is defined but corpus-empty (active corpus: damage/control only). Taste question: enumerate the full hybrid-treatment plane as frontier (Mendeleev), or treat hybrid as a curation interpolation not a first-class ghost region. HIGH-IMPACT — hybrid multiplies the whole function sub-plane."
