category,subcategory,approx_count,rig_type,loop_capable,bc_axis_relevance,vfx_anchor_points,notes,source
Movement - Walk/Run,walk/run/sprint,~20-30,Standard Mixamo humanoid,yes,Axis1:engagement-profile,"feet,body","Standard locomotion: walk forward/back/strafe, run, sprint. Loop capable. Root motion variants. Core for all engagement profile bins.",https://www.mixamo.com/
Movement - Dodge/Dash/Roll,dodge/dash/roll/blink,~10-20,Standard Mixamo humanoid,partial,Axis1:close-fast+mid-fast / Axis4:dodger,"body,feet","Short dodge animations. Evasive roll. Dash forward/backward. These anchor Axis 1 mobility and Axis 4 dodger bin. Limited selection noted in community feedback — Mixamo's biggest gap for ARPG.",https://mocaponline.com/blogs/mocap-news/mixamo-alternatives-character-animations
Combat - Melee Basic,punch/kick/unarmed,~30-50,Standard Mixamo humanoid,partial,Axis1:close-fast+close-slow / Axis2:single-target,"hands,feet","Punch combinations, kicks, unarmed strike. Covers close-range combat animation need. No weapon-specific variants in this subcategory.",https://www.mixamo.com/
Combat - Melee Sword,one-hand sword attacks,~20-40,Standard Mixamo humanoid,partial,Axis1:close-fast+close-slow / Axis2:single-target+small-AOE,"hands,weapon","Sword swing, slash, combo attacks. Weapon attachment point is right-hand bone. Multiple swing patterns (horizontal, vertical, diagonal). Important for warrior/rogue archetype animation.",https://medium.com/@sean.duggan/mixamo-and-animations-b9f903461a19
Combat - Melee Two-Hand,two-hand weapon attacks,~10-20,Standard Mixamo humanoid,partial,Axis1:close-slow / Axis2:small-AOE,"hands,weapon","Two-hand sword/axe/hammer animations. Slower attack tempo. Good for tank/warrior AOE swing archetypes.",https://www.mixamo.com/
Combat - Melee Kick,kick attacks,~10-15,Standard Mixamo humanoid,no,Axis1:close-fast / Axis2:single-target,"feet","Kick combos. Close-range melee diversity.",https://www.mixamo.com/
Combat - Ranged Bow,bow draw/shoot,~10-20,Standard Mixamo humanoid,partial,Axis1:ranged-slow / Axis2:single-target+small-AOE,"hands,weapon","Bow draw, aim, release. Ranged attack animation for hunter archetype. Weapon attachment: left hand (bow) + right hand (string).",https://www.mixamo.com/
Combat - Throwing,throw/toss,~5-10,Standard Mixamo humanoid,no,Axis1:mid-fast+ranged-fast / Axis2:single-target+multi-spawn,"hands","Throwing animations. Cover multi_projectile geometry (simultaneous volley). Limited count.",https://www.mixamo.com/
Combat - Spell Casting Instant,one-hand cast/two-hand cast,~20-40,Standard Mixamo humanoid,partial,Axis2:all-5-bins / Axis3:medium-high-tempo,"hands,body","Single or both-hand casting gestures. Used as base animation for all instant-cast spells. VFX attaches to hand bones or weapon bone. Core for all elemental mage archetypes. Most important Mixamo category for Reincarnated pipeline.",https://sketchfab.com/3d-models/mixamo-wizard-magic-attack-301e963303644824ab2c8554b75201d2
Combat - Spell Casting Channel,two-hand sustained gesture,~5-15,Standard Mixamo humanoid,yes,Axis3:low-tempo+flat-variance / Axis2B:control-pure,"hands,body","Sustained channeling animations. Loop capable. Used for beam_channel and aura geometry types. Key for control-pure archetypes. Limited selection.",https://www.mixamo.com/
Combat - Spell Casting Charge,charge-up windup,~5-10,Standard Mixamo humanoid,no,Axis3A:low-tempo / Axis3B:spiky,"hands,body","Charge-up animations. Pre-release build-up. Used with charge timing mechanic. Very limited selection in Mixamo.",https://www.mixamo.com/
Combat - Defensive Block/Parry,block/parry,~10-15,Standard Mixamo humanoid,no,Axis4:mitigator+tank,"hands,body","Shield block, weapon parry. Used for active mitigation defensive profile. Limited.",https://www.mixamo.com/
Hit React,hit reactions,~20-30,Standard Mixamo humanoid,no,Axis4:tank (absorb hits) / general,"body","Hit-received reaction animations. Multiple directional variants (front/back/side). Critical for combat feel.",https://www.mixamo.com/
Death / Falling,death animations,~15-25,Standard Mixamo humanoid,no,n/a — end state,"body","Death/fall animations. Multiple variants (dramatic/ragdoll-approximation/collapse). Not BC-relevant but required for complete kit.",https://www.mixamo.com/
Idle / Breathing,idle loops,~20-30,Standard Mixamo humanoid,yes,n/a — ambient state,"body","Idle breath/sway/ambient animations. Required for character presentation. Loop capable.",https://www.mixamo.com/
Emote,emotes/non-combat,~50-80,Standard Mixamo humanoid,partial,n/a — non-combat,"body","Wave/cheer/victory/sit/etc. Non-BC-relevant.",https://www.mixamo.com/
Boss / Monster Non-Humanoid,non-humanoid rigs,~0 (not supported),Non-humanoid / custom,n/a,n/a,"n/a","CRITICAL GAP: Mixamo auto-rigger supports humanoid only. Non-humanoid monsters (spiders, dragons, quadrupeds) cannot use Mixamo. Custom rigging path required for non-humanoid enemy types. This is a major constraint for the ChatGPT→Meshy→Mixamo pipeline when generating monster characters.",https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html
