stage,step,constraint_type,description,severity,failure_mode,mitigation,cost_estimate,time_estimate,source
ChatGPT Image Gen,1_prompt_design,quality,Use consistent perspective (3/4 view or front-facing) with clear silhouette and bright contrasts,HIGH,"Inconsistent perspective → Meshy produces warped geometry or fails 3D reconstruction","Use same perspective every generation. Seed images when possible for consistency. Include lighting from above-left for depth cues.",~$0.02-0.05/image,~30s per generation,https://www.zawanalbulushi.com/post/create-consistent-characters-with-dall-e-3-in-chatgpt-a-practical-guide
ChatGPT Image Gen,2_style_consistency,quality,"Style must be self-consistent: stylized, realistic, or cartoon — not mixed",HIGH,"Mixed styles → Meshy creates topologically inconsistent mesh; Mixamo rigging fails on unclear joint areas","Commit to one style register per asset batch. Stylized/cartoony works better than photorealistic for AI 3D generation.",~$0.02-0.05/image,N/A,https://www.coohom.com/article/can-chatgpt-create-3d-models
ChatGPT Image Gen,3_t_pose_or_clear_limbs,quality,Characters must have visible separated limbs — T-pose or A-pose preferred,CRITICAL,"Hidden limbs or crossed arms → Mixamo cannot identify joint placement → rigging failure","Prompt explicitly for T-pose or A-pose for character generation. Side-by-side limb visibility required.",~$0.02-0.05/image,N/A,https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html
ChatGPT Image Gen,4_background,quality,Clean/transparent background strongly preferred,MEDIUM,"Busy background → Meshy includes background geometry in 3D model","Prompt for flat color or transparent background. White background is acceptable.",~$0.02-0.05/image,N/A,https://www.meshy.ai/blog/3d-modeling-for-games
ChatGPT Image Gen,5_vfx_generation,quality,"For VFX effects (not characters): top-down or isometric angle preferred; clear geometry shape","MEDIUM — VFX images are not the primary pipeline path (Unity VFX packs used instead)","Unclear VFX geometry → incoherent 3D model that cannot be used","VFX are sourced from Unity Asset Store packs (Track B), not generated via ChatGPT→Meshy. ChatGPT→Meshy is for character/monster models only.",~$0/image for VFX,N/A,dispatch
Meshy 3D Model,1_image_format,compatibility,FBX or OBJ output required; USDZ/GLB/STL also supported,LOW,"Output format incompatible with Mixamo import","Use FBX for Mixamo pipeline. GLB for Blender cleanup if needed.",Free tier: 100 credits/month; Pro: $20/mo (1k credits); ~20 credits per Meshy 6 generation,~30s per generation (advertised),https://www.meshy.ai/pricing
Meshy 3D Model,2_mesh_quality,compatibility,"Output mesh quality varies — organic shapes (characters) generally better than hard-surface","HIGH — key constraint","Low-quality topology → Mixamo auto-rigger fails or produces poor deformation","Use Meshy's retopology tool (Pro feature) to optimize polygon count. Target 5k-50k triangles for game-ready humanoid.",Included in Pro plan,~2-5 min including retopology,https://www.meshy.ai/blog/simplify-your-3d-workflow-using-ai-for-easy-animation
Meshy 3D Model,3_humanoid_detection,compatibility,"Meshy auto-rig detects humanoid vs non-humanoid automatically — must have clear head/torso/arm/leg topology","CRITICAL","Non-humanoid mesh → cannot use Meshy or Mixamo rigging → full custom rig required","Humanoid characters only for ChatGPT→Meshy→Mixamo pipeline. Monsters with non-humanoid forms require Blender custom rigging (separate workflow). This is a significant constraint for non-humanoid enemy generation.",Additional Blender cleanup: ~$0 tool cost but hours of manual work,30s auto-rig (humanoid) vs hours (custom),https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html
Meshy 3D Model,4_texture_quality,quality,AI-generated textures may have baking artifacts or inconsistent style,MEDIUM,"Texture artifacts visible in game → reduces visual quality","Meshy AI Texture Edit (Pro feature) allows texture revision. Blender material cleanup is also option.",Included in Pro plan,~1-3 min per texture revision,https://www.meshy.ai/blog/simplify-your-3d-workflow-using-ai-for-easy-animation
Meshy 3D Model,5_mesh_symmetry,compatibility,"Character must be approximately symmetrical for Mixamo auto-rigger — asymmetric characters will produce poor bone placement","MEDIUM","Asymmetric mesh → bone placement error → joint deformation failure","Ensure prompts produce symmetric characters. Post-process in Blender to mirror-fix if needed.",Blender cleanup: ~$0 tool cost,~15-30 min manual cleanup if needed,https://blenderartists.org/t/mixamo-rigging-error/1460009
