source_name,url,category,genres,est_capacity,access_method,license_likely,robots_status,claude_agent_explicit,crawl_delay_seconds,priority_for_floor,notes
nick-aschenbach/dnd-data,https://github.com/nick-aschenbach/dnd-data,fantasy-rpg-canonical,fantasy-rpg,100-1K,git-clone,MIT,GREEN,unlisted,none,2,"46 stars; 15749 items total in dataset (backgrounds/classes/monsters/items/spells/species combined); weapons subset of items field; JSON format; MIT license; data from 193 official+community D&D sources. Weapon count within 15749 items likely 500-2K. Confirmed at github.com."
5e-bits/5e-database (dnd5eapi.co),https://github.com/5e-bits/5e-database,fantasy-rpg-canonical,fantasy-rpg,100-1K,rest-api,OGL,AMBER,unlisted,none,2,"Powers dnd5eapi.co. 237 total equipment items per live API query /api/2014/equipment. 68 weapons specifically per /api/equipment-categories/weapon. MIT code license; OGL for game content. No robots.txt. D&D 5e SRD only (no supplemental). API live and free."
open5e.com API,https://api.open5e.com/v1/weapons/,fantasy-rpg-canonical,"fantasy-rpg;fantasy-rpg-community",100-1K,rest-api,OGL,AMBER,unlisted,none,2,"68 weapons in v1 API per live query. Broader than pure 5e SRD: includes Tome of Heroes and other OGL sources. Content signal: search=yes ai-train=no but ClaudeBot not explicitly blocked. MIT code license; OGL/CC-BY for game content. Useful for non-SRD supplement weapons."
osrsbox-db (GitHub),https://github.com/osrsbox/osrsbox-db,game-data-mmo,game-specific,1K-5K,git-clone,proprietary-but-redistributable,RED,blocked,none,3,"OLD SCHOOL RuneScape wiki blocks ClaudeBot explicitly. HOWEVER: the GitHub repo itself is accessible (GitHub robots GREEN); data is pre-extracted JSON. ~800 weapons per osrsbox-api weapons endpoint; ~23000 total items. GPL v3 license on code; CC BY-NC-SA 3.0 on wiki-derived content = non-commercial restriction. License problem: NC clause makes commercial use of wiki-content-derived data problematic. Approach: git clone the pre-extracted JSON from GitHub (GREEN path); flag NC on license field."
osrsbox-api (REST),https://api.osrsbox.com/weapons,game-data-mmo,game-specific,1K-5K,rest-api,proprietary-but-redistributable,RED,blocked,none,3,"REST API endpoint for OSRS weapons. ~800 weapons with full stats. Same license issue as osrsbox-db: CC BY-NC-SA 3.0 on underlying data. ClaudeBot blocked on osrsbox.com (wiki source). API itself is hosted separately but data provenance = OSRS wiki = NC. LOW PRIORITY due to license."
osrsreboxed-db (fork),https://github.com/0xNeffarion/osrsreboxed-db,game-data-mmo,game-specific,1K-5K,git-clone,proprietary-but-redistributable,GREEN,unlisted,none,3,"Active maintained fork of osrsbox-db; GitHub = GREEN. Same license status (GPL3 + CC BY-NC-SA content). Provides more current OSRS data than archived original."
MyArmoury.com,https://myarmoury.com/,community-editorial,"historical-museum;historical-academic",100-1K,https-crawl,proprietary,GREEN-with-caution,unlisted,none,2,"152 featured articles + 250 hands-on weapon reviews (current reproduction arms). Has visual comparison tool with measurements and stats. robots.txt: no ClaudeBot block, no crawl-delay (phpdig blocked; personal subdomains blocked). Matt flagged as 'very promising' for geometry+cross-section data. No structured DB export; HTTPS crawl only. Forum paths blocked by robots. Crawl scope: /features.html, /reviews/, /feature_*.html. Est 400+ weapon entries from reviews + articles."
Swordis.com (Global Weapon Index),https://swordis.com/types-of-swords/,community-editorial,"historical-academic;regional",1K-5K,https-crawl,proprietary,GREEN-with-caution,unlisted,none,3,"702 sword types from around the world catalogued. Retail shop + educational index. Organized by region (Europe/Japan/China/India/Africa/West Asia/US), historical period (Bronze Age to modern), functional attributes. 326 military swords, 216 standard, 56 legendary/mythological, 35 daggers, 37 sabers + more. robots.txt: ClaudeBot not blocked; WooCommerce/admin paths blocked only. No API; HTTPS crawl of /types-of-swords/ tree. Primarily name+classification; limited technical data."
Wikipedia Category:Weapons (EN),https://en.wikipedia.org/wiki/Category:Weapons,historical-academic,"historical-museum;historical-academic;fantasy-rpg;modern-military;regional",20K-100K,bulk-dump,CC-BY-SA,GREEN,unlisted,none,1,"Category tree: 53 subcategories; 100+ distinct lists; thousands of weapon articles. List of premodern combat weapons alone = 700+ entries. List of firearms = large. List of magical weapons = 110-130 entries. Access: Wikipedia XML dumps (dumps.wikimedia.org) — must use dumps not page-by-page crawl per Wikimedia bot policy. Already in Track A1. Huge breadth: historical, fictional, regional, modern."
Wikidata SPARQL (weapon Q728),https://query.wikidata.org/sparql,historical-academic,"historical-museum;historical-academic;fantasy-rpg;modern-military;regional;mythological",20K-100K,sparql,CC0,GREEN,unlisted,none,1,"13134 weapon items (wdt:P31/wdt:P279* wd:Q728) per live SPARQL query 2026-05-22. Of these 1219 have image (P18). Bulk JSON dump available at dumps.wikimedia.org. Already in Track A1. SPARQL endpoint free, no auth. CC0 metadata. Rich linked data: labels in 100+ languages, P18 images, P279 taxonomy, P495 country of origin, P571 date."
