id,cls,applies_to_lattice,predicate_rule,removed_exact,removed_meso,rationale
L1-treatment-function-coherence,logical,True,"treatment=damage ⟺ function=none; treatment∈{control,hybrid} ⟺ function≠none",330062040,4158,"Coord #5 serializes treatment+function as two slots but they are ONE concept (register §3): a damage kit has no control function ('none'); a control/hybrid kit IS its control function, so 'none' is incoherent. Enumerating the two slots freely fabricates non-existent cells."
L2-summon-implies-proxy,logical,True,"delivery=SUMMON ⟹ proxy∈{light,heavy}  (SUMMON⊗solo forbidden)",42865200,540,Register §3B: a SUMMON kit's identity is its proxy; proxy=solo means nothing was summoned. SUMMON⊗solo is definitionally empty (the summoned entity IS the proxy).
L3-melee-delivery-range-coherence,logical,True,delivery=MELEE ⟹ range≠ranged  (MELEE⊗ranged forbidden; melee/mid/dual allowed),32148900,0,Charge C.5: melee⊗projectile-family is DEFINITIONAL (range is partly derived from delivery). A MELEE-delivered kit cannot have pure-ranged reach; dual (hybrid reach) and mid (lunge) remain coherent.
L4-ranged-delivery-range-coherence,logical,True,"delivery∈{PROJECTILE,ORBITAL,BEAM} ⟹ range≠melee  (payload travels)",96446700,0,A projectile/orbital/beam kit whose reach is pure-melee contradicts its delivery — the payload travels away from the body. mid/ranged/dual remain. NOVA/ZONE/MELEE/SUMMON are unconstrained (point-blank novas are coherent).
RED-1-co-location,red-law,False,"(no coordinate predicate — positional/geometry property, key-invisible)",N/A-filter,N/A-filter,The co-location law distinguishes damage painted where the avatar WAS from damage at its present position — a trail-vs-chase GEOMETRY property. The 13-coord identity key encodes no trail/present positional coordinate (gandalf §B.5: 'structurally under-observable ... carried by curation/generation filters instead'). Force-fitting it would fabricate a predicate the key cannot honestly express. STAYS a generation/curation filter.
RED-2-no-anti-synergy,red-law,False,"(no coordinate predicate — kit-internal relational property, key-invisible)",N/A-filter,N/A-filter,"Anti-synergy is a within-kit RELATION (sustain consumes the kit's OWN army/economy). Two kits with identical 13-coord keys can differ on whether sustain cannibalizes — the property lives in the mechanic, not the coordinate tuple. gandalf §A.2-6: observable only as a future sim-KPI (K5/K6) on EMITTED kits, never as a lattice predicate. STAYS a generation/curation filter."
RED-3-movement-damage-carveout,red-law,True,geometry∈{movement-verb geoms} ∧ ¬(commit=instant ∧ tempo=high) ⟹ SEAL (committal movement-damage dies; instant+high-tempo movement-damage lives),76204800,0,"gandalf §A.2-4: the register ALREADY separates flicker-survivors (commit=instant, tempo=high) from leap-attack-corpses (commit=wind-up, tempo=low). This IS a coordinate predicate: movement-verb geometry serving as the damage loop, sealed unless instant-commit + high-tempo. HONESTLY EXPRESSIBLE on the key. CAVEAT: the antecedent is keyed to the movement-verb GEOMETRY class (corpus: dash_attack, teleport = 2 of the ~21 abstract slots); exact cardinality depends on the curation binding of which #4 slots are movement-verbs (flagged)."
T1-glass-rooted-channel,taste-candidate,CANDIDATE,"(taste — proposed, never applied)",9279144,0,"Rooted + channel + glass = the maximally-exposed sustained-cast corner (the CONTESTED rooted-channel cell's most fragile sub-region). Taste question: seal, or keep as balance-loop showcase."
T2-triggered-windup,taste-candidate,CANDIDATE,"(taste — proposed, never applied)",69593580,0,"Triggered activation THEN a wind-up = double-latency (the condition fires, then you still charge). Genre-rare. Taste question: seal as feel-dead, or keep for telegraphed heavy procs."
T3-selfcost-heavy-proxy,taste-candidate,CANDIDATE,"(taste — proposed, never applied)",21299760,0,"HP-as-resource (self-cost) sustaining a HEAVY proxy army = the blood-summoner corner. Coherent but a strong flavor commitment. Taste question: reserve for a signature archetype, or seal as over-specific."
T4-flat-low-channel,taste-candidate,CANDIDATE,"(taste — proposed, never applied)",15465240,0,"Flat amplitude + low tempo + channel = the flattest, slowest, most inert damage feel in the space. Taste question: seal as anti-fun, or keep (some sustained-drain fantasies live here)."
T5-hybrid-treatment-plane,taste-candidate,CANDIDATE,"(taste — proposed, never applied)",200105640,3780,"treatment=hybrid is defined but corpus-empty (active corpus: damage/control only). Taste question: enumerate the full hybrid-treatment plane as frontier (Mendeleev), or treat hybrid as a curation interpolation not a first-class ghost region. HIGH-IMPACT — hybrid multiplies the whole function sub-plane."
