constraint_id,constraint_name,status,engine_surface_affected,bc_axis_affected,qd_rebuild_risk,recommended_disposition,dependencies
LC-001,Archetype template hardcoded dict (Cluster-B humanoid-fantasy substrate),DOCUMENTED,generation,cross-cutting,HIGH,REMOVE,LC-002/LC-003/LC-022
LC-002,Element selection bias — structural-presupposition toward fire 23.6%,EMPIRICALLY-SURFACED,generation/element selector,Axis 2B/3B,HIGH,ABLATE,LC-001/LC-020
LC-003,Modifier floor-lock calibration epoch (mean |mod-1.0| ~0.82),DOCUMENTED,simulation/balance_loop,cross-cutting,HIGH,VERIFY,LC-004/LC-009
LC-004,Energy-type mechanical gradient (~3-5x DPS differential rage vs mana),DOCUMENTED,simulation/generation,Axis 3A/3B/4,HIGH,REMOVE,LC-003/LC-001
LC-005,AOE skew — PackProxy x8 multiplier creates AOE win-rate inflation,DOCUMENTED,simulation/balance_loop,Axis 2/3A,HIGH,PRESERVE+DOCUMENT,LC-003
LC-006,Canonical-four element labels universally exposed to LLM (Cluster E drift),DRIFT-CANDIDATE,generation/llm,cross-cutting,HIGH,REMOVE,LC-007/LC-014
LC-007,Humanoid-presupposing gear schema (Cluster A — loadout/gear 14-item),DOCUMENTED,generation/export,Axis 4/5,HIGH,REMOVE,LC-006/LC-008
LC-008,STR/DEX/INT attribute axes as math-bearing humanoid labels,DOCUMENTED,generation/simulation,Axis 4/5,HIGH,PRESERVE+DOCUMENT,LC-007/LC-006
LC-009,Hunter archetype modifier range 1.82 — inconsistent convergence shape,EMPIRICALLY-SURFACED,generation/simulation/balance_loop,Axis 1/3A/3B,HIGH,ABLATE,LC-001/LC-004
LC-010,Proxy density measurement gap — current sim is solo-only,DOCUMENTED,simulation,Axis 2A,HIGH,PRESERVE+DOCUMENT,LC-001
LC-011,Convergence iterations highest for controllers/mages lowest for rogue/hunter,EMPIRICALLY-SURFACED,simulation/balance_loop,Axis 2B/cross-cutting,HIGH,ABLATE,LC-001/LC-004
LC-012,Foundation model validator hard-codes 4-rotating + 1-physical (Flag B),DRIFT-CANDIDATE,generation/foundation,cross-cutting,HIGH,VERIFY/REMOVE,LC-001/LC-006
LC-013,Mage range constraint — ARCHETYPES_FORBIDDEN_CLOSE_RANGE list,DOCUMENTED,generation,Axis 1,MEDIUM,PRESERVE+DOCUMENT,LC-001
LC-014,D1 element-name pool humanoid-fantasy selection bias (Flag A + three-level drift),DRIFT-CANDIDATE,generation/element selector,Axis 2B/3A/3B,MEDIUM,ABLATE+DOCUMENT,LC-006/LC-012
