target,question,link,rva,symbol,instruction,resolves_to,verdict,grade,method
MD-B3-2a,does ControllerPlayerStateIdle::RequestReleasePet call SkillManager::StopCurrentSkill?,1,0x0011ff60,RequestReleasePet@ControllerPlayerStateIdle,jmp 0x0011f0d0,DefaultRequestReleasePetAction@ControllerPlayerState,forwarder,DECODED,bounded disasm (d8_lib.bounded)
MD-B3-2a,,2,0x0011f0d0,DefaultRequestReleasePetAction@ControllerPlayerState,"push 0x14; call operator new; mov [edi], 0x1058e0f4",??_7ReleasePetConfigCmd@GAME@@6B@ (VA 0x1058e0f4 = RVA 0x0058e0f4),allocates a ReleasePetConfigCmd,DECODED,vtable VA resolved against export table
MD-B3-2a,,3,0x0011f170,DefaultRequestReleasePetAction+0xa0,call dword ptr [eax+0x1a4],controller config-cmd queue,queues the cmd; returns al=1 unconditionally,DECODED,bounded disasm
MD-B3-2a,,4,0x000a9580,Execute@ReleasePetConfigCmd,ObjectManager::Get<Character>([ebx+0xc]) -> esi; Get<ControllerCombat>([esi+0x1120]) -> edi,classInfo@Character (VA 0x107ff618) / classInfo@ControllerCombat (VA 0x107ff510),"resolves THE PET, not the player",DECODED,RTTI_ClassInfo statics resolved by export name
MD-B3-2a,,5,0x000a9614,Execute@ReleasePetConfigCmd+0x94,call dword ptr [eax+0x88],"KillMe@ControllerCombat 0x000eeab0 (controller vtable +0x88, IDENTICAL on ControllerPlayer/ControllerMonster/ControllerPet/ControllerAlly)",kills the pet,DECODED,controller vtable +0x88 resolved on 4 classes
MD-B3-2a,,6,0x0043ea00,StopCurrentSkill@SkillManager,E8/E9 rel32 xref scan over .text + image-wide 4-byte VA scan,"7 call sites, 0 address-takes","Execute@{MoveToAction,JumpAttackAction,EvadeAction,TakeStunAction,TakeKnockdownAction,TakeSleepAction,ImmobilizeAction}",DECODED,two independent techniques (D-7 § 6 standard)
MD-B3-2a,,7,n/a,VERDICT,n/a,n/a,NO. Releasing a pet does NOT call StopCurrentSkill and does NOT break the channel. K-11 ANSWERED.,DECODED,call-target audit of all four lane bodies + the 7-caller census
MD-B3-2b,what is slot 76's UseSkill IMPL occupant's verdict?,1,0x005c0c04+0x130,ControllerPlayerStateUseSkill vftable slot 76,dword @ vftable+0x130,0x00122f50 RequestSkillAction@ControllerPlayerStateUseSkill,the IMPL occupant,MEASURED,vtable slot read
MD-B3-2b,,2,0x00122f56,RequestSkillAction@ControllerPlayerStateUseSkill,"mov ecx,[esi+4]; call GetCurrentStateData@ControllerAI; push [eax+8]",the state-data's actor id,reads the CHANNELLED SKILL's id,DECODED,bounded disasm
MD-B3-2b,,3,0x00122f69,RequestSkillAction@ControllerPlayerStateUseSkill+0x19,call 0x0000d4f0,ObjectManager::Get<Skill> (classInfo@Skill VA 0x107ff570),cast target class = Skill,DECODED,RTTI_ClassInfo static resolved by export name
MD-B3-2b,,4,0x00122f76,RequestSkillAction@ControllerPlayerStateUseSkill+0x26,"mov eax,[eax+0x2b0]; call eax; test al,al; je DEFAULT; xor al,al; ret 0x14",Skill vtable +0x2b0 (slot 172),"REFUSE iff the predicate returns true, else fall through",DECODED,bounded disasm
MD-B3-2b,,5,0x003e96f0,Skill_AttackRadiusSpin vtable +0x2b0 = GetWarmUpWasActive@Skill_AttackRadiusGrow,"cmp dword ptr [ecx+0x44c], 1 ; sete al ; ret",Skill+0x44c == 1 (the WARM-UP phase; D-8 R-D8-3 named this field: 0/1/2 = idle/warm-up/running),TRUE only during warm-up,DECODED,"bounded disasm + Skill* vtable census (118/141 classes carry IsActive@Skill = `xor al,al` here)"
MD-B3-2b,,6,0x00122f9a,RequestSkillAction@ControllerPlayerStateUseSkill+0x4a,tail-forward to DefaultRequestSkillAction@ControllerPlayerState (0x0011e1d0),THE IDLE OCCUPANT,identical to PERMITTED once the warm-up gate passes,DECODED,the Idle slot-76 occupant 0x0011ff30 jmps to the same 0x0011e1d0
MD-B3-2b,,7,n/a,VERDICT,n/a,n/a,PERMITTED-EXCEPT-WARM-UP. Slot 76 mid-channel is NOT a refusal: it refuses only while the channelled skill's Skill+0x44c == 1 (warm-up). With EoR spinning (+0x44c == 2) the Guardian of Empyrion IS castable.,DECODED,"six-link chain, every link an instruction"
