family,hop,what,rva,symbol,first_bytes,method,note
Disruption,1,record field -> attribute value,0x0014d830,?GetLoadValueMinTag@DamageAttributeAbs_Disruption@GAME@@MBEPBDXZ,b888665310c3,DECODED,"returns the C-string ""offensiveDisruptionMin"""
Disruption,2,mitigation (applied BEFORE Execute),0x000d7620,?ReduceDamage@CombatAttributeAbsDamage@GAME@@UAEXW4CombatAttributeType@2@M@Z,558bec8b4104,DECODED,"ReduceDamage@CombatAttributeAbsDamage: if type==self.type -> v *= (1-r/100); then max(v,0). Disruption does NOT override slot 21, so it inherits this exact law (D-7 s2 scalar)."
Disruption,3,Execute: seconds -> integer MILLISECONDS,0x000dc9e0,?Execute@CombatAttributeAbsDamage_Disruption@GAME@@UAEXAAVCharacter@2@@Z,558becf30f10,DECODED,if v<=0 return; v*=1000.0; cvttss2si; tailcall target->vtable[+0x3d0](int ms). The x1000 + int-truncate IS the units proof: the field is SECONDS.
Disruption,4,Player vtable +0x3d0,0x00054710,?CombatAddCooldownDamage@Character@GAME@@UAEXH@Z,558bec660f6e,DECODED,?CombatAddCooldownDamage@Character@GAME@@UAEXH@Z — a REAL Character impl; Player does NOT override it (contrast Confusion/Fear/Taunt).
Disruption,5,Character -> SkillManager,0x004454d0,?ApplyCooldownDamage@SkillManager@GAME@@QAEXM@Z,558bec56578b,DECODED,CombatAddCooldownDamage: (float)ms -> SkillManager::ApplyCooldownDamage at this+0x600.
Disruption,6,SkillManager fan-out,0x004454d0,?ApplyCooldownDamage@SkillManager@GAME@@QAEXM@Z,558bec56578b,DECODED,"walks FOUR skill containers (+0x154/+0x158, +0x8c, +0x174/+0x178, +0x1f8/+0x1fc) and calls skill->vtable[+0x144](ms) on EVERY skill in each."
Disruption,7,per-skill gate,0x003bf110,?ApplyDisruptionCooldownTime@Skill@GAME@@UAEXM@Z,558bec80b9ca,DECODED,"ApplyDisruptionCooldownTime: if (this->[+0xca]) ReplaceCooldownTime(ms, 0.0). +0xca is a CTOR-SET class constant, not a DBR field."
Disruption,8,the write,0x003bf0b0,?ReplaceCooldownTime@Skill@GAME@@UAEXMM@Z,558becf30f10,DECODED,"ReplaceCooldownTime(newMs, 0): if newMs<=0 return; if newMs <= (float)[+0x150] return  => LONGEST-WINS, never additive; else [+0x150]=(int)newMs, [+0x154]=(int)newMs, [+0x80]=1 (reason=ON_COOLDOWN), [+0x86]=1."
Disruption,9,the effect on usability,0x003bf880,?SetAvailability@Skill@GAME@@UAE_NAAVCharacter@2@_N1@Z,558bec568bf1,DECODED,"SetAvailability: [+0x86] = ([+0x150] > 0); if (!ignoreCooldown && [+0x86]) -> [+0x80]=1, return false."
ManaBurnDrain,1,record field -> attribute value,0x00155170,?GetLoadValueMinTag@DamageAttributeAbs_ManaBurn@GAME@@MBEPBDXZ,b8f0aa5310c3,DECODED,"returns the C-string ""offensiveManaBurnDrainMin""; the ratio limb is ""offensiveManaBurnDamageRatio"" (GetLoadDamageRatioTag)."
ManaBurnDrain,2,mitigation,0x000dce40,?ReduceDamage@CombatAttributeAbsDamage_ManaBurn@GAME@@UAEXW4CombatAttributeType@2@M@Z,558bec8b4508,DECODED,"ReduceDamage@..._ManaBurn OVERRIDES the base: drain [+0x1c] reduced when type in {self.type, 0x0c ManaBurn, 0x15 ManaLeach}; ratio [+0x2c] reduced when type==0x3e ManaBurnRatio. Both clamped >=0."
ManaBurnDrain,3,Execute: value is a PERCENT of the MANA LIMIT,0x000dcc90,?Execute@CombatAttributeAbsDamage_ManaBurn@GAME@@UAEXAAVCharacter@2@@Z,558bec64a100,DECODED,"inlines Character::GetManaLimit() byte-for-byte ([+0xa9c] base, [+0xb84] %mod, [+0xc6c] scale, same constants/branch/abs); burn = min(v*0.01*ManaLimit, CurrentMana[+0xa54]). NO x1000 anywhere => NOT a duration."
ManaBurnDrain,4,the energy write,0x000dcc90,?Execute@CombatAttributeAbsDamage_ManaBurn@GAME@@UAEXAAVCharacter@2@@Z,558bec64a100,DECODED,if (!target->[+0x1847]) { target->[+0x10f8]=1; target->[+0xa5c]+=burn; target->[+0x1320]+=burn; }
ManaBurnDrain,5,the OPTIONAL health limb,0x000e0a40,?ApplyDamage@CombatManager@GAME@@QAE_NMABUPlayStatsDamageType@2@W4CombatAttributeType@2@ABV?$vector@I@mem@@@Z,558bec6aff68,DECODED,"x = ratio[+0x2c]*0.01*burn; if (x>0) CombatManager::ApplyDamage(&target[+0x3dc], x, ...). Gated on the ratio being > 0."
ManaBurnDrain,6,the DAMAGE-TOTAL exclusion,0x0003e4c0,?GetTotalDamage@CombatAttribute@GAME@@UAEXPAVCharacter@2@AAM1@Z,c20c00cccccc,DECODED,both Disruption and ManaBurn override GetTotalDamage (slot 9/17) and GetMinMaxDamage (slot 14) with CombatAttribute:: no-op stubs (ret 0xc / ret 0x14). The base CombatAttributeAbsDamage versions ADD [+0x1c] into the running total; these do not.
ManaBurnDrain-carrier,7,the carrier skill class,0x003cc730,?Install@SkillBuff_DispelMagic@GAME@@UAEXPAVCharacter@2@@Z,558bec6aff68,DECODED,SkillBuff_DispelMagic::Install -> on the HOSTILE branch calls target->vtable[+0x320] Character::DispelSkillBuffs() and THEN runs the attack. dispelFriendly/dispelDamageOverTime govern only the same-faction branch.
ManaBurnDrain-carrier,8,what a dispel actually removes,0x004356f0,?DispelBuff@SkillBuff_Passive@GAME@@UAEXAAVCharacter@2@@Z,558bec64a100,DECODED-WITHIN-THE-SkillBuff-FAMILY,"SkillManager::DispelSkillBuffs walks a buff container (SkillManager+0x88) calling vtable[+0x340](Character*). WITHIN the SkillBuff_* family +0x340 is DispelBuff: SkillBuff::DispelBuff is the shared ret-4 stub and ONLY SkillBuff_{Passive,PassiveCharged,PassiveEndless,PassiveShield,BuffImmobilize} override it. ⚑ SCOPE GUARD: +0x340 is NOT the same virtual outside that family (Skill_Passive+0x340 = Load@SkillActivated, Skill_AttackRadiusSpin+0x340 = StartAction), so the slot may NOT be read as a dispel verdict for the DBR-declared player passive classes. Which of the pilot Skill_Passive* records instantiate a SkillBuff_Passive into that container is UNDERIVABLE here — see README R-D10-1."
