axis,bin_label,substrate_required,substrate_current_estimate,gap_flag,notes,source_path
1_engagement,close-fast,~5 profiles,2-3 (physical_warrior archetype + physical_grappler with dash/mobility),PARTIAL,"close-range with mobility geometry (dash_attack, leap_strike) exists. Displacement-per-cast metadata not yet tagged — cannot measure tiles/min for BC placement. Warrior + skirmisher templates cover close engagement; fast-mobility bin needs metadata extension to confirm.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
1_engagement,close-slow,~5 profiles,2-3 (physical_warrior slow variants),PARTIAL,"Warrior archetype generates close-range kits. Slow variant = no mobility role assigned. Generator can produce this but no explicit distinction from fast; no movement_displacement_per_cast field exists yet.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
1_engagement,mid-fast,~5 profiles,2-3 (skirmisher + some elemental mage hybrids),PARTIAL,"Skirmisher and elemental classes with teleport/blink mobility fall here. Mobility geometry exists (teleport, blink, defensive_dash). Missing: movement_displacement_per_cast metadata to confirm bin assignment.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
1_engagement,mid-slow,~5 profiles,3-5 (most elemental mage archetypes),LIKELY_OK,"Mid-range elemental classes (fire/water/earth/wind mages without heavy mobility) are the baseline archetype. Multiple archetype template variants cover this space.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
1_engagement,ranged-fast,~5 profiles,2-3 (hunter archetype + some teleport-mages),PARTIAL,"Hunter archetype uses ranged_physical + escape mobility (teleport, defensive_dash, roll). Some mage variants with teleport also qualify. Needs displacement metadata to confirm.",reincarnated-engine/src/reincarnated/generation/b6_archetype_templates.py
1_engagement,ranged-slow,~5 profiles,3-5 (totem/channel mages; most long-range elemental),LIKELY_OK,"Long-range elemental mages without mobility roles naturally cluster here. Totem and beam_channel geometries reinforce stationary ranged playstyle.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py
2_geometry,single-target,~5 templates,5+ (melee_strike + single_target + projectile + ranged_physical + homing),LIKELY_OK,"Multiple distinct single-target geometries: melee_strike (close physical), single_target (generic), projectile (magical bolt), ranged_physical (ballistic with pierce/multishot). Bone Spirit type (homing) folded to projectile. Sufficient variety.",reincarnated-engine/src/reincarnated/generation/ability_grammar.py VALID_GEOMETRIES
2_geometry,small-AOE,~5 templates,8-10 (cone + circle + melee_arc + ground_slam + ring + vortex_pull + fork + whirlwind),LIKELY_OK,"Rich small-AOE set: cone, circle, melee_arc, ground_slam, ring, vortex_pull, fork, ricochet_bounce, whirlwind. aoe_radius thresholds not yet explicitly tagged per skill — BC assignment would require threshold extension. Geometry types exist.",canonical/09-geometry-palette-discussion.md
2_geometry,large-AOE,~5 templates,3-5 (ground_targeted_circle + persistent_zone + multi_projectile + some circle/aura),PARTIAL,"Large-AOE coverage thinner. ground_targeted_circle and persistent_zone cover placed large AOE. multi_projectile radial burst can qualify. aura at large radius qualifies. Need aoe_radius tagging to separate large from small bin accurately.",reincarnated-engine/src/reincarnated/generation/ability_schema.py
2_geometry,chain,~5 templates,1-2 (chain_lightning + ricochet_bounce),GAP,"chain_lightning and ricochet_bounce exist in grammar. is_chain metadata flag not present on Ability schema. Chain geometry distinctly underrepresented — only 2 geometry types vs the ~5 required.",reincarnated-engine/src/reincarnated/generation/ability_schema.py
