mechanism_name|game|mechanism_class|magnitude_pattern|stackability|trigger_condition|scope|gating|reversibility|resource_cost|build_defining_axis|investment_tier_coupling|genre_lineage|source_url
Skill Gem (active)|Path of Exile 1|skill_modifier|Base damage/utility scales with gem level 1-20; +quality adds secondary effect|single-instance active; supports stack on top|always-on|single_skill|early-game-accessible|respec-able (swap gem)|none (gem)|skill identity — which attack/spell you play|Day-1 accessible; full power = level 20 (mid-game)|Original to PoE 1; derived from D2 skill trees and D3 rune system|https://www.exitlag.com/blog/gems-in-path-of-exile-guide-sockets-links-supports/
Support Gem (6-link)|Path of Exile 1|skill_link|"more damage" = multiplicative per support; "increased" = additive; each support gem level 1-20; 5 supports at 6-link = 5 stacked multipliers|multiplicative across "more" supports; additive for "increased" supports; cannot double-up same support|always-on (linked)|single_skill|mid-game (6-link = endgame threshold)|respec-able (swap gem)|none (gem)|damage type / geometry / tempo of primary skill; the 6-link acquisition IS the build-online threshold|6-link container = mid-to-endgame; individual supports = early-accessible|Original to PoE; derived from D2 skill rune concept; no direct precursor|https://www.exitlag.com/blog/gems-in-path-of-exile-guide-sockets-links-supports/
Keystone Passive|Path of Exile 1|passive_tree_node|Large two-sided mechanic swap; e.g., CI: life=1 + chaos immunity; Pain Attunement: +30% spell damage at low life; Eldritch Battery: ES protects mana|single-instance (one per keystone type); does not stack|always-on (allocated)|character_wide|mid-game (passive tree pathing cost)|respec-able (passive respec cost)|none (passive points)|defensive architecture / resource type / damage source modifier|Mid-game accessible via pathing; some keystones = deep-tree endgame only|Original to PoE 1; no direct precursor in prior ARPGs|https://pathofexile.fandom.com/wiki/Keystone
Ascendancy Capstone Node|Path of Exile 1|passive_tree_node|Class-specific major bonus; 2 node pairs selected from 8 available; last pair most powerful (e.g., Chieftain Hinekora: 10% of overkill damage as life gain)|single-instance (one ascendancy per character)|always-on|character_wide|endgame-gated (4 Labyrinth runs; last pair = Uber Lab)|respec-able (re-run Labyrinth)|none (Labyrinth completion)|class archetype definition; specific skill/mechanic amplification or unlock|Endgame-gated (uber lab = late endgame)|Derived from D2 character skill trees; PoE original implementation|https://www.exitlag.com/blog/path-of-exile-ascendancy-guide/
Cluster Jewel Notable|Path of Exile 1|passive_tree_node|New passive notables inserted via outer-tree jewel socket; Large=up to 3 notables; Medium=up to 2; Small=1; notables add mechanics unavailable in base tree (e.g., Hollow Palm Technique; Will Shaper)|additive with existing tree passives; can stack multiple cluster jewels|always-on (allocated path through cluster)|character_wide or skill-specific|mid-game (item acquisition + crafting)|respec-able (remove jewel)|item acquisition cost|adds mechanics unavailable in base tree; extends passive tree option space|Mid-game to endgame depending on notable desirability|Original to PoE (Delirium 3.10); first implementation of "extend the passive tree with items"|https://www.poe-vault.com/guides/cluster-jewel-guide
Watcher's Eye|Path of Exile 1|item_affix|Unique jewel; 2-3 mods active only while specific aura is active; e.g., "+X% chance to poison while Despair active"; magnitude varies per roll; compounded RNG (correct mods + correct combination)|single-instance (one Watcher's Eye); mods are always-on when aura active|conditional (aura-active)|character_wide (aura-conditional)|endgame-only (specific boss drop + 2-3 mod combo RNG)|respec-able (swap jewel)|drop acquisition cost|aura-build specialization; endgame optimization of aura-linked mechanics|Endgame-only; compounded RNG acquisition|Original to PoE (Elder); derivative of unique jewel concept|https://www.poewiki.net/wiki/Watcher%27s_Eye
Awakened Support Gem|Path of Exile 1|skill_link|Upgraded support; starts stronger than level-20 regular at level 1; max level 5; unlocks additional effect at max level; overrides non-awakened version (no stack)|single-instance (overrides base; cannot double up)|always-on (linked)|single_skill|endgame-only (Conqueror drops; high currency value)|respec-able (swap gem)|high currency/drop acquisition|quantitative damage upgrade over regular support; level-5 bonus adds new mechanic|Endgame-only|Derivative of Support Gem system; PoE original upgrade tier|https://www.poewiki.net/wiki/Awakened_support_gem
Mageblood (unique belt)|Path of Exile 1|item_slot|Makes 2-4 leftmost magic utility flasks permanently active; effects cannot be removed; ignores charge consumption for always-on effect; flask effect magnitude boosted by Enkindling Orb (60-70%) without penalty|single-instance (one belt slot); each flask effect stacks with others|always-on (equipped)|character_wide|Mageblood-tier (extreme rarity; top 0.1% economy)|respec-able (unequip)|extreme market value|converts active-management flask system to passive always-on buffs; build wraps around flask optimization|Mageblood-tier only|Original to PoE 1; ported to PoE 2 in 0.5|https://www.poebuilds.net/post/mageblood-poe-the-ultimate-guide-to-this-legendary-belt
Headhunter (unique belt)|Path of Exile 1|item_slot|On killing rare monster: gain ALL that monster's explicit modifiers for 60 seconds; multiple rare kills stack; unbounded upward scaling per density|single-instance (one belt slot); stacks per rare monster killed|proc-on-kill|character_wide|Mageblood-tier (extreme rarity)|respec-able (unequip)|extreme market value|transforms static build into exponentially-scaling-per-kill; creates extreme speed-clear identity|Mageblood-tier only|Original to PoE 1 (Nemesis league 1.1)|https://www.poewiki.net/wiki/Headhunter
Spirit Gem (reservation)|Path of Exile 2|resource_allocation|Spirit pool (starts 0; grows via bosses and gear); each persistent effect reserves Spirit; reservation is zero-sum trade-off between offense and defense|single-instance per skill; zero-sum pool constraint|always-on (reserved)|character_wide|early-campaign (first Spirit gained quickly in Act I)|respec-able (disable skill)|Spirit pool opportunity cost|active defense vs active offense trade-off; forces binary choices between persistent effects|Early-campaign but constrained pool = mid-game decisions|Original to PoE 2 (replaces PoE1 mana reservation with dedicated resource)|https://mobalytics.gg/poe-2/guides/spirit
Meta Gem (Cast on X)|Path of Exile 2|skill_link|Trigger-based gem; e.g., Cast on Shock fires socketed skills when shock is applied; links multiple skills into a combo chain; Spirit cost for the meta gem|single-instance per meta gem slot; Spirit-gated|conditional (trigger event)|chain_of_skills|mid-game|respec-able (swap gem)|Spirit reservation cost|skill combo architecture; enables spell-on-hit and reaction-chain builds|Mid-game (Spirit pool permitting)|Original to PoE 2; inspired by PoE1 trigger gems (Cast on Crit)|https://www.sportskeeda.com/mmo/path-exile-2-poe2-skill-gems-gemcutting-guide-uncut-spirit-support
Rune Word (e.g. Enigma)|Diablo 2|extractable_power|Fixed affix set when correct runes inserted in correct order in normal socketed item; Enigma: +1 Teleport (skill) all classes + 45% MF + high Strength bonus; runes are consumed permanently on insertion|single-instance (one runeword per item); additive with item base properties|always-on (equipped)|character_wide|endgame-only (high runes require extensive farming or trade)|permanent (runes consumed; item cannot revert)|high rune acquisition cost (irreversible)|class identity transformation (Teleport access for all); element viability (Infinity conviction); caster power (Spirit +2 skills + FCR)|Endgame-only; D2 high rune economy|Original to D2 Lord of Destruction (1.10 patch 2003); first implementation of ordered-insertion recipe system|https://classic.battle.net/diablo2exp/items/runewords.shtml
