tile,t_sec,x_left,y,w,txt,evidence_file,adjudication,basis
0,683.5,86,486.5,15,314,evidence/strip-green-0.png,VFX_OR_UI,"green terrain/plume texture; white text present is a neighbouring RED plate's (cur/max) token"
1,688.0,593,460.0,54,122,evidence/strip-green-0.png,VFX_OR_UI,"green plume texture, no flat bar, no dark bar frame"
2,700.0,388,159.0,73,227,evidence/strip-green-0.png,VFX_OR_UI,"green lightning plume; the two visible bars in the same crop are RED with white text above them"
3,702.0,754,332.0,34,416,evidence/strip-green-0.png,VFX_OR_UI,"green plume; RED bars and their white (cur/max) text are the source of the text-gate hit"
4,704.5,58,345.5,83,83,evidence/strip-green-1.png,VFX_OR_UI,"green terrain wash, no bar geometry"
5,716.5,325,145.5,16,323,evidence/strip-green-1.png,VFX_OR_UI,"green plume under objective-tracker text"
6,730.5,1739,380.0,18,324,evidence/strip-green-1.png,VFX_OR_UI,"green UI/objective region, no bar geometry"
7,756.5,1232,89.5,28,118,evidence/strip-green-1.png,VFX_OR_UI,"green wash near the objective tracker"
8,788.5,736,239.5,14,372,evidence/strip-green-2.png,VFX_OR_UI,"textured ground, no flat run; the only bar in the crop is RED"
9,820.0,1302,542.5,89,178,evidence/strip-green-2.png,VFX_OR_UI,"mottled green/red ground texture"
10,822.5,1406,760.0,18,163,evidence/strip-green-2.png,VFX_OR_UI,"dark green haze, no bar"
11,825.5,1357,736.0,21,230,evidence/strip-green-2.png,VFX_OR_UI,"green plume over terrain"
12,831.5,1832,292.0,55,137,evidence/strip-green-3.png,VFX_OR_UI,"pale rim texture, no bar"
13,833.5,1052,490.0,16,73,evidence/strip-green-3.png,VFX_OR_UI,"fire/ember VFX region"
14,845.5,1901,386.0,17,91,evidence/strip-green-3.png,VFX_OR_UI,"green plume beneath the green objective text '...all Enemies'"
15,858.5,1865,392.5,17,84,evidence/strip-green-3.png,VFX_OR_UI,"green plume beneath the green objective text 'all Enemies'"
